Date,Site,Crop ID,Irrigation,Fertilizer,Growth Stage,Hybrid,AGDD,Year
21-Jul,Becker,C4,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C5,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C6,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C7,,,VT,NK 0440AT,1326.33,2024
21-Jul,Becker,C8,,,VT,NK 0440AT,1326.33,2024
27-Jul,Becker,C1,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C2,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C3,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C4,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C5,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C6,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C7,,,R1,NK 0440AT,1460.7,2024
27-Jul,Becker,C8,,,R1,NK 0440AT,1460.7,2024
2-Aug,Becker,C1,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C2,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C3,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C4,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C5,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C6,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C7,,,R2,NK 0440AT,1615.32,2024
2-Aug,Becker,C8,,,R2,NK 0440AT,1615.32,2024
8-Aug,Becker,C1,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C2,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C3,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C4,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C5,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C6,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C7,,,R2,NK 0440AT,1715.76,2024
8-Aug,Becker,C8,,,R2,NK 0440AT,1715.76,2024
16-Aug,Becker,C1,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C2,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C3,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C4,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C5,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C6,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C7,,,R2,NK 0440AT,1847.16,2024
16-Aug,Becker,C8,,,R2,NK 0440AT,1847.16,2024
23-Aug,Becker,C1,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C2,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C3,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C4,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C5,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C6,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C7,,,R3,NK 0440AT,1986.03,2024
23-Aug,Becker,C8,,,R3,NK 0440AT,1986.03,2024
30-Aug,Becker,C1,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C2,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C3,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C4,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C5,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C6,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C7,,,R3,NK 0440AT,2149.47,2024
30-Aug,Becker,C8,,,R3,NK 0440AT,2149.47,2024
6-Sep,Becker,C1,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C2,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C3,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C4,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C5,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C6,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C7,,,R4,NK 0440AT,2256.75,2024
6-Sep,Becker,C8,,,R4,NK 0440AT,2256.75,2024
13-Sep,Becker,C1,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C2,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C3,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C4,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C5,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C6,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C7,,,R4,NK 0440AT,2381.4,2024
13-Sep,Becker,C8,,,R4,NK 0440AT,2381.4,2024
20-Sep,Becker,C1,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C2,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C3,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C4,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C5,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C6,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C7,,,R5,NK 0440AT,2547.36,2024
20-Sep,Becker,C8,,,R5,NK 0440AT,2547.36,2024
3-Oct,Becker,C1,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C2,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C3,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C4,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C5,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C6,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C7,,,R6,NK 0440AT,2720.16,2024
3-Oct,Becker,C8,,,R6,NK 0440AT,2720.16,2024
17-Oct,Becker,C1,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C2,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C3,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C4,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C5,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C6,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C7,,,Harvested,NK 0440AT,2835.27,2024
17-Oct,Becker,C8,,,Harvested,NK 0440AT,2835.27,2024
